                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0404,                 1.5415,                 1.3615,                0.29327,                0.75309,                0.29328,                0.14003,                 1.7683,                 33.149,                 3.2094,             0.00065854,             0.00065854,             0.00065854
                      2,                 1.4355,                 1.5549,                 1.5787,                 0.4502,                0.58025,                0.44745,                0.20604,                 1.6765,                 9.4984,                 2.0233,               0.001194,               0.001194,               0.001194
                      3,                 1.6241,                 1.5001,                 1.7032,                0.00713,                0.50617,                 0.0077,                0.00212,                 3.3094,                    inf,                 72.001,              0.0015975,              0.0015975,              0.0015975
                      4,                 1.5649,                 1.3581,                 1.6644,                0.16325,                 0.7284,                0.14703,                0.08102,                 1.4679,                 40.651,                 1.7665,               0.001406,               0.001406,               0.001406
                      5,                 1.5372,                 1.2305,                 1.6299,                 0.0154,                0.16049,                0.00481,                0.00281,                 2.6491,                 23.003,                 3.2476,               0.001208,               0.001208,               0.001208
                      6,                  1.373,                 1.1166,                 1.5153,                0.79756,                0.79012,                0.85204,                0.55735,                 1.1799,                 1.0337,                 1.3295,                0.00101,                0.00101,                0.00101
                      7,                 1.3117,                  1.068,                 1.4869,                0.88985,                0.69821,                 0.8145,                0.55918,                 1.2396,                 1.1202,                 1.4441,               0.000812,               0.000812,               0.000812
                      8,                 1.1269,                0.93065,                 1.3622,                0.94571,                0.86025,                0.96251,                0.70735,                0.99178,                0.74931,                 1.2141,               0.000614,               0.000614,               0.000614
                      9,                 1.0716,                 0.8761,                 1.2942,                0.91777,                0.82716,                0.94723,                 0.6832,                0.95686,                0.75067,                 1.2043,               0.000416,               0.000416,               0.000416
                     10,                 1.0162,                 0.7859,                  1.286,                0.92822,                0.92593,                0.96863,                0.73834,                0.88556,                0.65593,                 1.1601,               0.000218,               0.000218,               0.000218
