                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91763,                 1.8821,                 1.2488,                0.95325,                0.75515,                0.94848,                0.71477,                0.84275,                 1.9261,                 1.1491,             0.00065833,             0.00065833,             0.00065833
                      2,                0.94599,                  1.461,                 1.2077,                0.92869,                0.83951,                0.93726,                 0.6789,                0.92123,                 1.1522,                  1.194,              0.0011938,              0.0011938,              0.0011938
                      3,                 1.0478,                 1.4657,                 1.2903,                0.83554,                0.85185,                0.90946,                0.60234,                 1.0273,                 1.2409,                 1.3063,              0.0015973,              0.0015973,              0.0015973
                      4,                 1.0551,                 1.2428,                 1.2906,                0.92431,                0.90465,                0.96819,                0.71123,                0.94554,                0.88155,                 1.2266,               0.001406,               0.001406,               0.001406
                      5,                 1.0307,                  1.129,                 1.2512,                0.95113,                0.96103,                0.98189,                0.69352,                0.92915,                0.85684,                 1.2168,               0.001208,               0.001208,               0.001208
                      6,                0.89445,                 1.0008,                 1.1397,                0.98056,                0.91358,                0.97291,                0.74439,                0.83011,                0.71016,                 1.1166,                0.00101,                0.00101,                0.00101
                      7,                0.89949,                0.95551,                 1.1822,                0.95043,                0.94695,                0.98693,                0.74787,                0.83436,                0.67875,                 1.1171,               0.000812,               0.000812,               0.000812
                      8,                0.83937,                 1.1435,                  1.114,                0.98803,                0.97531,                0.99388,                0.78266,                0.79433,                0.63285,                 1.1156,               0.000614,               0.000614,               0.000614
                      9,                0.80658,                0.85037,                 1.0825,                0.99868,                0.98765,                0.99488,                0.78008,                 0.8218,                0.57098,                 1.1415,               0.000416,               0.000416,               0.000416
                     10,                0.79014,                0.79111,                 1.1066,                0.98747,                0.97272,                0.99307,                0.80421,                0.74301,                0.55067,                 1.0958,               0.000218,               0.000218,               0.000218
