                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98822,                 2.1502,                 1.3917,                0.84957,                0.72973,                0.84802,                0.50364,                0.99209,                 2.2272,                 1.4193,                0.00056,                0.00056,                0.00056
                      2,                0.96119,                 1.6433,                 1.3324,                0.80099,                0.43523,                0.83819,                0.45856,                 1.0336,                 2.4118,                 1.4515,              0.0010271,              0.0010271,              0.0010271
                      3,                 1.1488,                 1.6927,                 1.5685,                0.82964,                0.65829,                0.78247,                0.36969,                 1.5482,                  2.147,                 1.8352,              0.0013794,              0.0013794,              0.0013794
                      4,                 1.1823,                  1.707,                 1.4429,                0.75488,                0.78378,                0.81066,                0.48892,                  1.254,                 1.8415,                 1.5124,               0.001406,               0.001406,               0.001406
                      5,                 1.1037,                 1.5322,                 1.4443,                0.88305,                0.61246,                0.75173,                0.44631,                 1.3476,                 2.1052,                 1.6984,               0.001208,               0.001208,               0.001208
                      6,                 1.0382,                  1.484,                 1.3762,                0.81046,                 0.7027,                0.84677,                0.58005,                 1.0905,                  2.118,                 1.4909,                0.00101,                0.00101,                0.00101
                      7,                0.92513,                 1.3537,                 1.2828,                0.80762,                0.90783,                0.88799,                0.63338,                 1.0431,                 1.4719,                  1.417,               0.000812,               0.000812,               0.000812
                      8,                 0.8668,                 1.2455,                 1.2344,                0.87247,                0.97297,                 0.9428,                0.69249,                0.90329,                 1.3298,                 1.2476,               0.000614,               0.000614,               0.000614
                      9,                0.86686,                 1.1844,                 1.2612,                0.89937,                0.97297,                0.96002,                0.71551,                0.93406,                 1.2729,                 1.2619,               0.000416,               0.000416,               0.000416
                     10,                0.83129,                 1.1507,                 1.2297,                0.92275,                0.96865,                0.96392,                0.70578,                0.95701,                 1.1889,                  1.278,               0.000218,               0.000218,               0.000218
